"variables" "activity" "subject" "average"
"fBodyAccJerkmeanFreqXaxis" "LAYING" 1 0.132419092398
"fBodyAccJerkmeanFreqXaxis" "LAYING" 2 0.159808328563875
"fBodyAccJerkmeanFreqXaxis" "LAYING" 3 0.17597855438871
"fBodyAccJerkmeanFreqXaxis" "LAYING" 4 0.182436483157407
"fBodyAccJerkmeanFreqXaxis" "LAYING" 5 0.239915157321154
"fBodyAccJerkmeanFreqXaxis" "LAYING" 6 0.0114731894070175
"fBodyAccJerkmeanFreqXaxis" "LAYING" 7 0.0207159202961538
"fBodyAccJerkmeanFreqXaxis" "LAYING" 8 0.164984298959259
"fBodyAccJerkmeanFreqXaxis" "LAYING" 9 -0.08503093738
"fBodyAccJerkmeanFreqXaxis" "LAYING" 10 0.0485572099491379
"fBodyAccJerkmeanFreqXaxis" "LAYING" 11 0.178104551486316
"fBodyAccJerkmeanFreqXaxis" "LAYING" 12 0.083907082125
"fBodyAccJerkmeanFreqXaxis" "LAYING" 13 0.169895805430645
"fBodyAccJerkmeanFreqXaxis" "LAYING" 14 -0.158599091641176
"fBodyAccJerkmeanFreqXaxis" "LAYING" 15 0.114787481842222
"fBodyAccJerkmeanFreqXaxis" "LAYING" 16 0.06559671734
"fBodyAccJerkmeanFreqXaxis" "LAYING" 17 0.188447976580282
"fBodyAccJerkmeanFreqXaxis" "LAYING" 18 0.159761097664615
"fBodyAccJerkmeanFreqXaxis" "LAYING" 19 0.135277438
"fBodyAccJerkmeanFreqXaxis" "LAYING" 20 0.116642082939706
"fBodyAccJerkmeanFreqXaxis" "LAYING" 21 0.0883780669131111
"fBodyAccJerkmeanFreqXaxis" "LAYING" 22 0.0734034055506944
"fBodyAccJerkmeanFreqXaxis" "LAYING" 23 0.206066869445833
"fBodyAccJerkmeanFreqXaxis" "LAYING" 24 0.152359886551389
"fBodyAccJerkmeanFreqXaxis" "LAYING" 25 -0.0416113196575342
"fBodyAccJerkmeanFreqXaxis" "LAYING" 26 0.137090425315789
"fBodyAccJerkmeanFreqXaxis" "LAYING" 27 0.0961256024564865
"fBodyAccJerkmeanFreqXaxis" "LAYING" 28 0.104292020185
"fBodyAccJerkmeanFreqXaxis" "LAYING" 29 0.138616312664928
"fBodyAccJerkmeanFreqXaxis" "LAYING" 30 0.0410381510042857
"fBodyAccJerkmeanFreqXaxis" "SITTING" 1 0.256610823568085
"fBodyAccJerkmeanFreqXaxis" "SITTING" 2 0.305546818084783
"fBodyAccJerkmeanFreqXaxis" "SITTING" 3 0.215731832596154
"fBodyAccJerkmeanFreqXaxis" "SITTING" 4 0.2130199199042
"fBodyAccJerkmeanFreqXaxis" "SITTING" 5 0.0757356169022727
"fBodyAccJerkmeanFreqXaxis" "SITTING" 6 0.0999400617187273
"fBodyAccJerkmeanFreqXaxis" "SITTING" 7 0.180132581508333
"fBodyAccJerkmeanFreqXaxis" "SITTING" 8 0.227828617
"fBodyAccJerkmeanFreqXaxis" "SITTING" 9 0.02039798558
"fBodyAccJerkmeanFreqXaxis" "SITTING" 10 0.193449216333333
"fBodyAccJerkmeanFreqXaxis" "SITTING" 11 0.153320197518868
"fBodyAccJerkmeanFreqXaxis" "SITTING" 12 0.138129939916471
"fBodyAccJerkmeanFreqXaxis" "SITTING" 13 0.264214260326531
"fBodyAccJerkmeanFreqXaxis" "SITTING" 14 0.00357106024444444
"fBodyAccJerkmeanFreqXaxis" "SITTING" 15 0.240022781071475
"fBodyAccJerkmeanFreqXaxis" "SITTING" 16 0.203452532052174
"fBodyAccJerkmeanFreqXaxis" "SITTING" 17 0.232009757914063
"fBodyAccJerkmeanFreqXaxis" "SITTING" 18 0.234747570824561
"fBodyAccJerkmeanFreqXaxis" "SITTING" 19 0.091700311709589
"fBodyAccJerkmeanFreqXaxis" "SITTING" 20 0.136601130674242
"fBodyAccJerkmeanFreqXaxis" "SITTING" 21 0.244349529764706
"fBodyAccJerkmeanFreqXaxis" "SITTING" 22 0.214704630348387
"fBodyAccJerkmeanFreqXaxis" "SITTING" 23 0.285643525808824
"fBodyAccJerkmeanFreqXaxis" "SITTING" 24 0.187752123742647
"fBodyAccJerkmeanFreqXaxis" "SITTING" 25 0.176656276830769
"fBodyAccJerkmeanFreqXaxis" "SITTING" 26 0.17657695075641
"fBodyAccJerkmeanFreqXaxis" "SITTING" 27 0.194318820804286
"fBodyAccJerkmeanFreqXaxis" "SITTING" 28 0.147680902402778
"fBodyAccJerkmeanFreqXaxis" "SITTING" 29 0.277955332916667
"fBodyAccJerkmeanFreqXaxis" "SITTING" 30 0.136689127145161
"fBodyAccJerkmeanFreqXaxis" "STANDING" 1 0.314182940150943
"fBodyAccJerkmeanFreqXaxis" "STANDING" 2 0.331449281481482
"fBodyAccJerkmeanFreqXaxis" "STANDING" 3 0.0749564403088525
"fBodyAccJerkmeanFreqXaxis" "STANDING" 4 0.2722139805
"fBodyAccJerkmeanFreqXaxis" "STANDING" 5 0.150463078469643
"fBodyAccJerkmeanFreqXaxis" "STANDING" 6 0.186559227035088
"fBodyAccJerkmeanFreqXaxis" "STANDING" 7 0.098774853689
"fBodyAccJerkmeanFreqXaxis" "STANDING" 8 0.267296230824074
"fBodyAccJerkmeanFreqXaxis" "STANDING" 9 -0.0235041479111111
"fBodyAccJerkmeanFreqXaxis" "STANDING" 10 0.253301389636364
"fBodyAccJerkmeanFreqXaxis" "STANDING" 11 0.312171839674468
"fBodyAccJerkmeanFreqXaxis" "STANDING" 12 0.230672593114754
"fBodyAccJerkmeanFreqXaxis" "STANDING" 13 0.237964693460702
"fBodyAccJerkmeanFreqXaxis" "STANDING" 14 0.0237594244966667
"fBodyAccJerkmeanFreqXaxis" "STANDING" 15 0.267947792641509
"fBodyAccJerkmeanFreqXaxis" "STANDING" 16 0.267452462051282
"fBodyAccJerkmeanFreqXaxis" "STANDING" 17 0.257118196283333
"fBodyAccJerkmeanFreqXaxis" "STANDING" 18 0.200295939657534
"fBodyAccJerkmeanFreqXaxis" "STANDING" 19 0.199135943480822
"fBodyAccJerkmeanFreqXaxis" "STANDING" 20 0.0982414306372603
"fBodyAccJerkmeanFreqXaxis" "STANDING" 21 0.156072448511236
"fBodyAccJerkmeanFreqXaxis" "STANDING" 22 0.227103206142857
"fBodyAccJerkmeanFreqXaxis" "STANDING" 23 0.201179907463235
"fBodyAccJerkmeanFreqXaxis" "STANDING" 24 0.207088443601449
"fBodyAccJerkmeanFreqXaxis" "STANDING" 25 0.186395511032432
"fBodyAccJerkmeanFreqXaxis" "STANDING" 26 0.267659898704054
"fBodyAccJerkmeanFreqXaxis" "STANDING" 27 0.29614372759125
"fBodyAccJerkmeanFreqXaxis" "STANDING" 28 0.146890848677215
"fBodyAccJerkmeanFreqXaxis" "STANDING" 29 0.303254910076923
